UF;NOME DO MUNICÍPIO;country;population;ibgeID
GO;Abadia de Goiás;Brazil;8773;5200050
MG;Abadia dos Dourados;Brazil;6989;3100104
GO;Abadiânia;Brazil;20042;5200100
MG;Abaeté;Brazil;23237;3100203
PA;Abaetetuba;Brazil;157698;1500107
CE;Abaiara;Brazil;11737;2300101
BA;Abaíra;Brazil;8739;2900108
BA;Abaré;Brazil;20086;2900207
PR;Abatiá;Brazil;7457;4100103
SC;Abdon Batista;Brazil;2563;4200051
PA;Abel Figueiredo;Brazil;7434;1500131
SC;Abelardo Luz;Brazil;17904;4200101
MG;Abre Campo;Brazil;13454;3100302
PE;Abreu e Lima;Brazil;99990;2600054
TO;Abreulândia;Brazil;2579;1700251
MG;Acaiaca;Brazil;3994;3100401
MA;Açailândia;Brazil;112445;2100055
BA;Acajutiba;Brazil;15159;2900306
PA;Acará;Brazil;55591;1500206
CE;Acarape;Brazil;14929;2300150
CE;Acaraú;Brazil;62641;2300200
RN;Acari;Brazil;11136;2400109
PI;Acauã;Brazil;7084;2200053
RS;Aceguá;Brazil;4901;4300034
CE;Acopiara;Brazil;54270;2300309
MT;Acorizal;Brazil;5399;5100102
AC;Acrelândia;Brazil;15256;1200013
GO;Acreúna;Brazil;22366;5200134
RN;Açu;Brazil;58017;2400208
MG;Açucena;Brazil;9470;3100500
SP;Adamantina;Brazil;35068;3500105
GO;Adelândia;Brazil;2516;5200159
SP;Adolfo;Brazil;3562;3500204
PR;Adrianópolis;Brazil;5919;4100202
BA;Adustina;Brazil;17040;2900355
PE;Afogados da Ingazeira;Brazil;37259;2600104
RN;Afonso Bezerra;Brazil;11035;2400307
ES;Afonso Cláudio;Brazil;30586;3200102
MA;Afonso Cunha;Brazil;6524;2100105
PE;Afrânio;Brazil;19635;2600203
PA;Afuá;Brazil;39218;1500305
PE;Agrestina;Brazil;24885;2600302
PI;Agricolândia;Brazil;5139;2200103
SC;Agrolândia;Brazil;10864;4200200
SC;Agronômica;Brazil;5448;4200309
PA;Água Azul do Norte;Brazil;27430;1500347
MG;Água Boa;Brazil;13735;3100609
MT;Água Boa;Brazil;25721;5100201
PI;Água Branca;Brazil;17411;2200202
PB;Água Branca;Brazil;10234;2500106
AL;Água Branca;Brazil;20196;2700102
MS;Água Clara;Brazil;15522;5000203
MG;Água Comprida;Brazil;1999;3100708
SC;Água Doce;Brazil;7145;4200408
MA;Água Doce do Maranhão;Brazil;12571;2100154
ES;Água Doce do Norte;Brazil;11019;3200169
BA;Água Fria;Brazil;16970;2900405
GO;Água Fria de Goiás;Brazil;5735;5200175
GO;Água Limpa;Brazil;1850;5200209
RN;Água Nova;Brazil;3252;2400406
PE;Água Preta;Brazil;36771;2600401
RS;Água Santa;Brazil;3748;4300059
SP;Aguaí;Brazil;36305;3500303
MG;Aguanil;Brazil;4486;3100807
PE;Águas Belas;Brazil;43443;2600500
SP;Águas da Prata;Brazil;8180;3500402
SC;Águas de Chapecó;Brazil;6486;4200507
SP;Águas de Lindóia;Brazil;18705;3500501
SP;Águas de Santa Bárbara;Brazil;6075;3500550
SP;Águas de São Pedro;Brazil;3451;3500600
MG;Águas Formosas;Brazil;19207;3100906
SC;Águas Frias;Brazil;2366;4200556
GO;Águas Lindas de Goiás;Brazil;212440;5200258
SC;Águas Mornas;Brazil;6469;4200606
MG;Águas Vermelhas;Brazil;13539;3101003
RS;Agudo;Brazil;16461;4300109
SP;Agudos;Brazil;37214;3500709
PR;Agudos do Sul;Brazil;9371;4100301
ES;Águia Branca;Brazil;9642;3200136
PB;Aguiar;Brazil;5640;2500205
TO;Aguiarnópolis;Brazil;6733;1700301
MG;Aimorés;Brazil;25167;3101102
BA;Aiquara;Brazil;4446;2900603
CE;Aiuaba;Brazil;17399;2300408
MG;Aiuruoca;Brazil;6003;3101201
RS;Ajuricaba;Brazil;7024;4300208
MG;Alagoa;Brazil;2674;3101300
PB;Alagoa Grande;Brazil;28496;2500304
PB;Alagoa Nova;Brazil;20849;2500403
PB;Alagoinha;Brazil;14489;2500502
PE;Alagoinha;Brazil;14636;2600609
PI;Alagoinha do Piauí;Brazil;7651;2200251
BA;Alagoinhas;Brazil;151596;2900702
SP;Alambari;Brazil;6025;3500758
MG;Albertina;Brazil;3007;3101409
MA;Alcântara;Brazil;22097;2100204
CE;Alcântaras;Brazil;11714;2300507
PB;Alcantil;Brazil;5492;2500536
MS;Alcinópolis;Brazil;5343;5000252
BA;Alcobaça;Brazil;22470;2900801
MA;Aldeias Altas;Brazil;26532;2100303
RS;Alecrim;Brazil;5950;4300307
ES;Alegre;Brazil;30084;3200201
RS;Alegrete;Brazil;73589;4300406
PI;Alegrete do Piauí;Brazil;4915;2200277
RS;Alegria;Brazil;3464;4300455
MG;Além Paraíba;Brazil;35362;3101508
PA;Alenquer;Brazil;56789;1500404
RN;Alexandria;Brazil;13577;2400505
GO;Alexânia;Brazil;27653;5200308
MG;Alfenas;Brazil;79996;3101607
ES;Alfredo Chaves;Brazil;14601;3200300
SP;Alfredo Marcondes;Brazil;4166;3500808
MG;Alfredo Vasconcelos;Brazil;6907;3101631
SC;Alfredo Wagner;Brazil;10036;4200705
PB;Algodão de Jandaíra;Brazil;2567;2500577
PB;Alhandra;Brazil;19588;2500601
PE;Aliança;Brazil;38386;2600708
TO;Aliança do Tocantins;Brazil;5390;1700350
BA;Almadina;Brazil;5464;2900900
TO;Almas;Brazil;7055;1700400
PA;Almeirim;Brazil;34109;1500503
MG;Almenara;Brazil;41896;3101706
RN;Almino Afonso;Brazil;4735;2400604
PR;Almirante Tamandaré;Brazil;118623;4100400
RS;Almirante Tamandaré do Sul;Brazil;1964;4300471
GO;Aloândia;Brazil;1995;5200506
MG;Alpercata;Brazil;7424;3101805
RS;Alpestre;Brazil;6258;4300505
MG;Alpinópolis;Brazil;19853;3101904
MT;Alta Floresta;Brazil;51782;5100250
RO;Alta Floresta D'Oeste;Brazil;22945;1100015
SP;Altair;Brazil;4160;3500907
PA;Altamira;Brazil;114594;1500602
MA;Altamira do Maranhão;Brazil;8128;2100402
PR;Altamira do Paraná;Brazil;1942;4100459
CE;Altaneira;Brazil;7586;2300606
MG;Alterosa;Brazil;14466;3102001
PE;Altinho;Brazil;22972;2600807
SP;Altinópolis;Brazil;16184;3501004
RR;Alto Alegre;Brazil;15510;1400050
SP;Alto Alegre;Brazil;4099;3501103
RS;Alto Alegre;Brazil;1638;4300554
MA;Alto Alegre do Maranhão;Brazil;27053;2100436
MA;Alto Alegre do Pindaré;Brazil;31919;2100477
RO;Alto Alegre dos Parecis;Brazil;13241;1100379
MT;Alto Araguaia;Brazil;19044;5100300
SC;Alto Bela Vista;Brazil;1937;4200754
MT;Alto Boa Vista;Brazil;6822;5100359
MG;Alto Caparaó;Brazil;5847;3102050
RN;Alto do Rodrigues;Brazil;14529;2400703
RS;Alto Feliz;Brazil;3028;4300570
MT;Alto Garças;Brazil;12030;5100409
GO;Alto Horizonte;Brazil;6414;5200555
MG;Alto Jequitibá;Brazil;8317;3153509
PI;Alto Longá;Brazil;14304;2200301
MT;Alto Paraguai;Brazil;11356;5100508
RO;Alto Paraíso;Brazil;21428;1100403
PR;Alto Paraíso;Brazil;2741;4128625
GO;Alto Paraíso de Goiás;Brazil;7624;5200605
PR;Alto Paraná;Brazil;14770;4100608
MA;Alto Parnaíba;Brazil;11190;2100501
PR;Alto Piquiri;Brazil;9836;4100707
MG;Alto Rio Doce;Brazil;11000;3102100
ES;Alto Rio Novo;Brazil;7836;3200359
CE;Alto Santo;Brazil;17146;2300705
MT;Alto Taquari;Brazil;10847;5100607
PR;Altônia;Brazil;22056;4100509
PI;Altos;Brazil;40524;2200400
SP;Alumínio;Brazil;18628;3501152
AM;Alvarães;Brazil;16041;1300029
MG;Alvarenga;Brazil;3907;3102209
SP;Álvares Florence;Brazil;3679;3501202
SP;Álvares Machado;Brazil;24915;3501301
SP;Álvaro de Carvalho;Brazil;5227;3501400
SP;Alvinlândia;Brazil;3222;3501509
MG;Alvinópolis;Brazil;15203;3102308
TO;Alvorada;Brazil;8412;1700707
RS;Alvorada;Brazil;210305;4300604
MG;Alvorada de Minas;Brazil;3606;3102407
PI;Alvorada do Gurguéia;Brazil;5419;2200459
GO;Alvorada do Norte;Brazil;8660;5200803
PR;Alvorada do Sul;Brazil;11406;4100806
RO;Alvorada D'Oeste;Brazil;14411;1100346
RR;Amajari;Brazil;12796;1400027
MS;Amambai;Brazil;39396;5000609
AP;Amapá;Brazil;9109;1600105
MA;Amapá do Maranhão;Brazil;6962;2100550
PR;Amaporã;Brazil;6257;4100905
PE;Amaraji;Brazil;22829;2600906
RS;Amaral Ferrador;Brazil;7031;4300638
GO;Amaralina;Brazil;3812;5200829
PI;Amarante;Brazil;17598;2200509
MA;Amarante do Maranhão;Brazil;41435;2100600
BA;Amargosa;Brazil;37241;2901007
AM;Amaturá;Brazil;11536;1300060
BA;Amélia Rodrigues;Brazil;25102;2901106
BA;América Dourada;Brazil;16094;2901155
SP;Americana;Brazil;239597;3501608
GO;Americano do Brasil;Brazil;6111;5200852
SP;Américo Brasiliense;Brazil;40504;3501707
SP;Américo de Campos;Brazil;5969;3501806
RS;Ametista do Sul;Brazil;7409;4300646
CE;Amontada;Brazil;43452;2300754
GO;Amorinópolis;Brazil;3126;5200902
PB;Amparo;Brazil;2238;2500734
SP;Amparo;Brazil;72195;3501905
SE;Amparo de São Francisco;Brazil;2374;2800100
MG;Amparo do Serra;Brazil;4713;3102506
PR;Ampére;Brazil;19152;4101002
AL;Anadia;Brazil;17545;2700201
BA;Anagé;Brazil;17857;2901205
PR;Anahy;Brazil;2801;4101051
PA;Anajás;Brazil;29277;1500701
MA;Anajatuba;Brazil;26803;2100709
SP;Analândia;Brazil;4995;3502002
AM;Anamã;Brazil;13614;1300086
TO;Ananás;Brazil;9549;1701002
PA;Ananindeua;Brazil;530598;1500800
GO;Anápolis;Brazil;386923;5201108
PA;Anapu;Brazil;27890;1500859
MA;Anapurus;Brazil;15732;2100808
MS;Anastácio;Brazil;25135;5000708
MS;Anaurilândia;Brazil;9035;5000807
ES;Anchieta;Brazil;29263;3200409
SC;Anchieta;Brazil;5638;4200804
BA;Andaraí;Brazil;13143;2901304
PR;Andirá;Brazil;20031;4101101
BA;Andorinha;Brazil;14595;2901353
MG;Andradas;Brazil;41077;3102605
SP;Andradina;Brazil;57157;3502101
RS;André da Rocha;Brazil;1333;4300661
MG;Andrelândia;Brazil;12224;3102803
SP;Angatuba;Brazil;25228;3502200
MG;Angelândia;Brazil;8520;3102852
MS;Angélica;Brazil;10780;5000856
PE;Angelim;Brazil;11150;2601003
SC;Angelina;Brazil;4801;4200903
BA;Angical;Brazil;13977;2901403
PI;Angical do Piauí;Brazil;6788;2200608
TO;Angico;Brazil;3433;1701051
RN;Angicos;Brazil;11714;2400802
RJ;Angra dos Reis;Brazil;203785;3300100
BA;Anguera;Brazil;11221;2901502
PR;Ângulo;Brazil;2928;4101150
GO;Anhanguera;Brazil;1149;5201207
SP;Anhembi;Brazil;6724;3502309
SP;Anhumas;Brazil;4115;3502408
GO;Anicuns;Brazil;21850;5201306
PI;Anísio de Abreu;Brazil;9880;2200707
SC;Anita Garibaldi;Brazil;7133;4201000
SC;Anitápolis;Brazil;3232;4201109
AM;Anori;Brazil;21010;1300102
RS;Anta Gorda;Brazil;5981;4300703
BA;Antas;Brazil;19291;2901601
PR;Antonina;Brazil;18980;4101200
CE;Antonina do Norte;Brazil;7353;2300804
PI;Antônio Almeida;Brazil;3164;2200806
BA;Antônio Cardoso;Brazil;11683;2901700
MG;Antônio Carlos;Brazil;11445;3102902
SC;Antônio Carlos;Brazil;8513;4201208
MG;Antônio Dias;Brazil;9318;3103009
BA;Antônio Gonçalves;Brazil;11798;2901809
MS;Antônio João;Brazil;8956;5000906
RN;Antônio Martins;Brazil;7145;2400901
PR;Antônio Olinto;Brazil;7434;4101309
RS;Antônio Prado;Brazil;13050;4300802
MG;Antônio Prado de Minas;Brazil;1598;3103108
PB;Aparecida;Brazil;8347;2500775
SP;Aparecida;Brazil;36157;3502507
GO;Aparecida de Goiânia;Brazil;578179;5201405
GO;Aparecida do Rio Doce;Brazil;2474;5201454
TO;Aparecida do Rio Negro;Brazil;4795;1701101
MS;Aparecida do Taboado;Brazil;25745;5001003
SP;Aparecida d'Oeste;Brazil;4196;3502606
RJ;Aperibé;Brazil;11759;3300159
ES;Apiacá;Brazil;7567;3200508
MT;Apiacás;Brazil;10133;5100805
SP;Apiaí;Brazil;24374;3502705
MA;Apicum-Açu;Brazil;17239;2100832
SC;Apiúna;Brazil;10743;4201257
RN;Apodi;Brazil;35845;2401008
BA;Aporá;Brazil;17731;2901908
GO;Aporé;Brazil;4198;5201504
BA;Apuarema;Brazil;7330;2901957
PR;Apucarana;Brazil;134996;4101408
AM;Apuí;Brazil;21973;1300144
CE;Apuiarés;Brazil;14600;2300903
SE;Aquidabã;Brazil;21563;2800209
MS;Aquidauana;Brazil;47871;5001102
CE;Aquiraz;Brazil;80271;2301000
SC;Arabutã;Brazil;4267;4201273
PB;Araçagi;Brazil;16987;2500809
MG;Araçaí;Brazil;2347;3103207
SE;Aracaju;Brazil;657013;2800308
SP;Araçariguama;Brazil;22364;3502754
BA;Araças;Brazil;12177;2902054
CE;Aracati;Brazil;74547;2301109
BA;Aracatu;Brazil;13135;2902005
SP;Araçatuba;Brazil;197016;3502804
BA;Araci;Brazil;54379;2902104
MG;Aracitaba;Brazil;2063;3103306
CE;Aracoiaba;Brazil;26469;2301208
PE;Araçoiaba;Brazil;20524;2601052
SP;Araçoiaba da Serra;Brazil;34146;3502903
ES;Aracruz;Brazil;101220;3200607
GO;Araçu;Brazil;3522;5201603
MG;Araçuaí;Brazil;36708;3103405
GO;Aragarças;Brazil;20118;5201702
GO;Aragoiânia;Brazil;10308;5201801
TO;Aragominas;Brazil;5758;1701309
TO;Araguacema;Brazil;7086;1701903
TO;Araguaçu;Brazil;8517;1702000
MT;Araguaiana;Brazil;3100;5101001
TO;Araguaína;Brazil;180470;1702109
MT;Araguainha;Brazil;935;5101209
TO;Araguanã;Brazil;5729;1702158
MA;Araguanã;Brazil;15426;2100873
GO;Araguapaz;Brazil;7770;5202155
MG;Araguari;Brazil;117267;3103504
TO;Araguatins;Brazil;35761;1702208
MA;Araioses;Brazil;46440;2100907
MS;Aral Moreira;Brazil;12149;5001243
BA;Aramari;Brazil;11397;2902203
RS;Arambaré;Brazil;3581;4300851
MA;Arame;Brazil;32701;2100956
SP;Aramina;Brazil;5620;3503000
SP;Arandu;Brazil;6357;3503109
MG;Arantina;Brazil;2795;3103603
SP;Arapeí;Brazil;2469;3503158
AL;Arapiraca;Brazil;231747;2700300
TO;Arapoema;Brazil;6643;1702307
MG;Araponga;Brazil;8439;3103702
PR;Arapongas;Brazil;123027;4101507
MG;Araporã;Brazil;6869;3103751
PR;Arapoti;Brazil;28115;4101606
MG;Arapuá;Brazil;2834;3103801
PR;Arapuã;Brazil;3068;4101655
MT;Araputanga;Brazil;16822;5101258
SC;Araquari;Brazil;38129;4201307
PB;Arara;Brazil;13470;2500908
SC;Araranguá;Brazil;68228;4201406
SP;Araraquara;Brazil;236072;3503208
SP;Araras;Brazil;134236;3503307
CE;Ararendá;Brazil;10935;2301257
MA;Arari;Brazil;29848;2101004
RS;Araricá;Brazil;5698;4300877
CE;Araripe;Brazil;21600;2301307
PE;Araripina;Brazil;84418;2601102
RJ;Araruama;Brazil;132400;3300209
PB;Araruna;Brazil;20312;2501005
PR;Araruna;Brazil;13970;4101705
BA;Arataca;Brazil;11019;2902252
RS;Aratiba;Brazil;6235;4300901
CE;Aratuba;Brazil;11847;2301406
BA;Aratuípe;Brazil;8825;2902302
SE;Arauá;Brazil;10056;2800407
PR;Araucária;Brazil;143843;4101804
MG;Araújos;Brazil;9273;3103900
MG;Araxá;Brazil;106229;3104007
MG;Arceburgo;Brazil;10772;3104106
SP;Arco-Íris;Brazil;1791;3503356
MG;Arcos;Brazil;40092;3104205
PE;Arcoverde;Brazil;74338;2601201
MG;Areado;Brazil;15070;3104304
RJ;Areal;Brazil;12572;3300225
SP;Arealva;Brazil;8560;3503406
PB;Areia;Brazil;22819;2501104
RN;Areia Branca;Brazil;27774;2401107
SE;Areia Branca;Brazil;18542;2800506
PB;Areia de Baraúnas;Brazil;2128;2501153
PB;Areial;Brazil;6998;2501203
SP;Areias;Brazil;3886;3503505
SP;Areiópolis;Brazil;11129;3503604
MT;Arenápolis;Brazil;9607;5101308
GO;Arenópolis;Brazil;2612;5202353
RN;Arês;Brazil;14306;2401206
MG;Argirita;Brazil;2727;3104403
MG;Aricanduva;Brazil;5231;3104452
MG;Arinos;Brazil;17875;3104502
MT;Aripuanã;Brazil;22354;5101407
RO;Ariquemes;Brazil;107863;1100023
SP;Ariranha;Brazil;9668;3503703
PR;Ariranha do Ivaí;Brazil;2108;4101853
RJ;Armação dos Búzios;Brazil;40532;3300233
SC;Armazém;Brazil;8674;4201505
CE;Arneiroz;Brazil;7840;2301505
PI;Aroazes;Brazil;5835;2200905
PB;Aroeiras;Brazil;19153;2501302
PI;Aroeiras do Itaim;Brazil;2551;2200954
PI;Arraial;Brazil;4727;2201002
RJ;Arraial do Cabo;Brazil;30349;3300258
TO;Arraias;Brazil;10567;1702406
RS;Arroio do Meio;Brazil;20805;4301008
RS;Arroio do Padre;Brazil;2937;4301073
RS;Arroio do Sal;Brazil;10065;4301057
RS;Arroio do Tigre;Brazil;13373;4301206
RS;Arroio dos Ratos;Brazil;14151;4301107
RS;Arroio Grande;Brazil;18293;4301305
SC;Arroio Trinta;Brazil;3550;4201604
SP;Artur Nogueira;Brazil;54408;3503802
GO;Aruanã;Brazil;9875;5202502
SP;Arujá;Brazil;89824;3503901
SC;Arvoredo;Brazil;2240;4201653
RS;Arvorezinha;Brazil;10424;4301404
SC;Ascurra;Brazil;7934;4201703
SP;Aspásia;Brazil;1822;3503950
PR;Assaí;Brazil;15119;4101903
CE;Assaré;Brazil;23417;2301604
SP;Assis;Brazil;104386;3504008
AC;Assis Brasil;Brazil;7417;1200054
PR;Assis Chateaubriand;Brazil;33362;4102000
PB;Assunção;Brazil;3990;2501351
PI;Assunção do Piauí;Brazil;7846;2201051
MG;Astolfo Dutra;Brazil;14179;3104601
PR;Astorga;Brazil;26111;4102109
